episode,total_reward,steps,checkpoints,laps,epsilon
457,494.0,94,2,0,0.3985
458,438.0,85,2,0,0.3978
459,442.5,87,2,0,0.3970
460,564.0,99,3,0,0.3962
461,1093.0,189,5,0,0.3954
462,565.0,97,3,0,0.3946
463,494.0,94,2,0,0.3938
464,392.5,77,2,0,0.3930
465,404.0,76,2,0,0.3922
466,464.0,88,2,0,0.3914
467,574.0,101,3,0,0.3906
468,539.0,94,3,0,0.3899
469,431.5,84,2,0,0.3891
470,434.0,82,2,0,0.3883
471,449.0,85,2,0,0.3875
472,689.0,124,3,0,0.3868
473,551.5,156,3,0,0.3860
474,579.5,123,3,0,0.3852
475,459.0,87,2,0,0.3844
476,464.5,87,2,0,0.3837
477,463.5,89,2,0,0.3829
478,481.5,99,2,0,0.3821
479,474.5,89,2,0,0.3814
480,469.0,89,2,0,0.3806
481,484.0,92,2,0,0.3799
482,546.5,107,2,0,0.3791
483,399.0,75,2,0,0.3783
484,463.5,96,2,0,0.3776
485,423.5,114,2,0,0.3768
486,545.0,93,3,0,0.3761
487,425.0,78,2,0,0.3753
488,449.5,84,2,0,0.3746
489,494.5,93,2,0,0.3738
490,470.0,87,2,0,0.3731
491,499.0,95,2,0,0.3723
492,435.0,80,2,0,0.3716
493,450.0,83,2,0,0.3708
494,440.0,81,2,0,0.3701
495,465.0,86,2,0,0.3694
496,464.0,88,2,0,0.3686
497,470.0,87,2,0,0.3679
498,509.0,88,3,0,0.3671
499,429.5,80,2,0,0.3664
500,449.5,84,2,0,0.3657
501,439.5,82,2,0,0.3649
502,409.5,76,2,0,0.3642
503,553.5,98,3,0,0.3635
504,439.0,83,2,0,0.3628
505,454.5,85,2,0,0.3620
506,880.0,151,4,0,0.3613
507,464.0,88,2,0,0.3606
508,434.5,81,2,0,0.3599
509,404.5,75,2,0,0.3591
510,454.0,86,2,0,0.3584
511,468.5,90,2,0,0.3577
512,429.5,80,2,0,0.3570
513,405.0,74,2,0,0.3563
514,419.5,78,2,0,0.3556
515,369.5,68,2,0,0.3549
516,425.0,78,2,0,0.3541
517,489.5,92,2,0,0.3534
518,430.0,79,2,0,0.3527
519,412.0,79,2,0,0.3520
520,429.5,80,2,0,0.3513
521,590.0,102,3,0,0.3506
522,524.5,90,3,0,0.3499
523,464.5,87,2,0,0.3492
524,404.5,75,2,0,0.3485
525,470.0,87,2,0,0.3478
526,429.5,80,2,0,0.3471
527,480.0,89,2,0,0.3464
528,454.5,85,2,0,0.3457
529,480.0,89,2,0,0.3450
530,404.0,76,2,0,0.3444
531,450.0,83,2,0,0.3437
532,454.5,85,2,0,0.3430
533,475.0,88,2,0,0.3423
534,470.0,87,2,0,0.3416
535,559.5,97,3,0,0.3409
536,460.0,85,2,0,0.3402
537,445.0,82,2,0,0.3396
538,445.0,82,2,0,0.3389
539,485.0,90,2,0,0.3382
540,570.0,98,3,0,0.3375
541,580.0,100,3,0,0.3369
542,520.0,88,3,0,0.3362
543,550.0,94,3,0,0.3355
544,544.5,94,3,0,0.3348
545,469.5,88,2,0,0.3342
546,470.0,87,2,0,0.3335
547,529.0,92,3,0,0.3328
548,579.0,102,3,0,0.3322
549,603.5,108,3,0,0.3315
550,198.0,46,1,0,0.3308
551,1034.5,174,5,0,0.3302
552,429.5,80,2,0,0.3295
553,463.0,90,2,0,0.3289
554,459.0,87,2,0,0.3282
555,473.5,91,2,0,0.3275
556,429.0,81,2,0,0.3269
557,492.5,97,2,0,0.3262
558,494.0,94,2,0,0.3256
559,879.0,153,4,0,0.3249
560,564.5,122,3,0,0.3243
561,544.5,94,3,0,0.3236
562,479.0,91,2,0,0.3230
563,552.0,127,3,0,0.3223
564,549.0,96,3,0,0.3217
565,860.0,147,4,0,0.3211
566,470.0,87,2,0,0.3204
567,549.0,96,3,0,0.3198
568,585.0,101,3,0,0.3191
569,484.5,91,2,0,0.3185
570,475.0,88,2,0,0.3179
571,534.0,93,3,0,0.3172
572,545.0,93,3,0,0.3166
573,159.5,35,1,0,0.3160
574,419.0,79,2,0,0.3153
575,483.5,93,2,0,0.3147
576,1139.5,195,5,0,0.3141
577,705.0,125,3,0,0.3134
578,584.5,102,3,0,0.3128
579,1090.0,184,5,0,0.3122
580,1094.5,186,5,0,0.3116
581,1084.5,184,5,0,0.3109
582,558.5,99,3,0,0.3103
583,420.0,77,2,0,0.3097
584,1075.0,181,5,0,0.3091
585,879.5,152,4,0,0.3085
586,545.0,93,3,0,0.3078
587,540.0,92,3,0,0.3072
588,912.5,160,4,0,0.3066
589,910.0,157,4,0,0.3060
590,459.5,86,2,0,0.3054
591,435.0,80,2,0,0.3048
592,1060.0,178,5,0,0.3042
593,1095.0,185,5,0,0.3036
594,1055.0,177,5,0,0.3029
595,454.5,85,2,0,0.3023
596,450.0,83,2,0,0.3017
597,415.0,76,2,0,0.3011
598,384.5,71,2,0,0.3005
599,444.5,83,2,0,0.2999
600,460.0,85,2,0,0.2993
601,177.0,41,1,0,0.2987
602,444.5,83,2,0,0.2981
603,465.0,86,2,0,0.2975
604,165.0,35,1,0,0.2969
605,425.0,78,2,0,0.2963
606,393.5,75,2,0,0.2958
607,610.0,115,2,0,0.2952
608,884.5,153,4,0,0.2946
609,469.5,88,2,0,0.2940
610,450.0,83,2,0,0.2934
611,438.0,85,2,0,0.2928
612,465.0,86,2,0,0.2922
613,445.0,82,2,0,0.2916
614,425.0,78,2,0,0.2911
615,879.5,152,4,0,0.2905
616,1088.0,188,5,0,0.2899
617,424.5,79,2,0,0.2893
618,432.0,83,2,0,0.2887
619,465.0,86,2,0,0.2882
620,465.0,86,2,0,0.2876
621,450.0,83,2,0,0.2870
622,378.5,72,2,0,0.2864
623,595.0,103,3,0,0.2859
624,529.5,91,3,0,0.2853
625,435.0,80,2,0,0.2847
